Ime in priimek	Spol	Rojstvo	Smrt	Naslov	Oznaka	Letnica nastanka	Letnica vira	Letnica digitalizirane izdaje	Obdobje	Število besed	Kanoničnost 	Število ponatisov	Status	Signatura	URL	ALT URL
"Fajdiga, Ivan"	m	1854	1935	Nebesa	Roman	1905		2019	D		NE		ADD	SLV10004	https://sl.wikisource.org/wiki/Nebesa_(Ivan_Fajdiga)	
"Cigler, Janez"	m	1792	1867	Sreča v nesreči	Popisovanje čudne zgodbe dveh dvojčkov	1836		2007	A	"33,829"	DA		ADD	SLV10003	https://sl.wikisource.org/wiki/Sre%C4%8Da_v_nesre%C4%8Di_ali_popisovanje_%C4%8Dudne_zgodbe_dveh_dvoj%C4%8Dkov	
"Carli Lukovič, Alojz"	m	1846	1891	Zadnji dnevi v Ogleju	Izviren roman iz petega stoletja	1876		2009	B	"35,907"	NE		ADD	SLV10002	https://sl.wikisource.org/wiki/Zadnji_dnevi_v_Ogleju	
"Cankar, Ivan"	m	1876	1918	Hiša Marije Pomočnice		1904		2019	D	"33,991"	DA		ADD	SLV10001	https://sl.wikisource.org/wiki/Hi%C5%A1a_Marije_Pomo%C4%8Dnice	
"Murnik, Rado"	m	1870	1932	Hči grofa Blagaja	Roman	1911-1913		2015	D	"112,737"	NE		OK	SLV00526	WIKI00526	
"Fatur, Lea"	ž	1865	1943	Za Adrijo	Povest iz uskoško-benečanskih bojev	1909		2015	D	"101,214"	NE		OK	SLV00506	WIKI00506	
"Fatur, Lea"	ž	1865	1943	V burji in strasti	Povest	1905		2015	D	"34,780"	NE		OK	SLV00502	WIKI00502	
"Finžgar, Fran Saleški"	m	1871	1962	Sama	Povest	1912		2015	D	"49,744"	DA		OK	SLV00498	WIKI00498	
"Finžgar, Fran Saleški"	m	1871	1962	Moja duša vasuje		1903		2015	D	"31,168"	DA		OK	SLV00497	WIKI00497	
"Finžgar, Fran Saleški"	m	1871	1962	Iz modernega sveta	Roman	1904		2015	D	"60,980"	DA		OK	SLV00496	WIKI00496	
"Levstik, Vladimir"	m	1886	1957	Za svobodo in ljubezen	Roman z Balkana	1913		2015	D	"124,500"	NE		OK	SLV00483	WIKI00483	
"Levstik, Vladimir"	m	1886	1957	Gadje gnezdo	Povest iz dni trpljenja in nad	1918		2015	D	"38,343"	DA		OK	SLV00478	WIKI00478	
"Murnik, Rado"	m	1870	1932	Na Bledu		1917		2015	D	"34,302"	NE		OK	SLV00476	WIKI00476	
"Murnik, Rado"	m	1870	1932	Groga in drugi		1895		2015	C	"67,070"	DELNO		OK	SLV00473	WIKI00473	
"Malovrh, Miroslav"	m	1861	1922	Zadnji rodovine Benalja	Povest	1909		2015	D	"40,138"	NE		OK	SLV00461	WIKI00461	
"Malovrh, Miroslav"	m	1861	1922	V študentskih ulicah	Ljubezenska povest	1909		2015	D	"48,915"	NE		OK	SLV00460	WIKI00460	
"Malovrh, Miroslav"	m	1861	1922	Strahovalci dveh kron	Zgodovinska povest	1907		2015	D	"91,184"	NE		OK	SLV00459	WIKI00459	
"Malovrh, Miroslav"	m	1861	1922	Pod novim orlom	Zgodovinska povest	1904		2015	D	"65,382"	NE		OK	SLV00458	WIKI00458	
"Malovrh, Miroslav"	m	1861	1922	Ljubezen in junaštva strahopetnega praporščaka	Roman	1910		2015	D	"31,157"	NE		OK	SLV00456	WIKI00456	
